FIO,AVG Salary
ctmaxuamyktoxqbnsxmppnduppahrpbuiyvldympuogvutyzkc toqezksibyorcztnxxrpshrsomqqakfwqsvgctiqjptunhnlti,156915.2
dxustctqneqjbtqnnggomjfzwaddmgavagnshxdbgttaipvbkb mgsictvjtxtmyedgjrzoplgxxtndnlubttprivvjcqoagjeeld,145932.80000000002
jvdkvmbbdbuucratawjhhokipnrqxmgyqijbfuindqzxbbvkdt pkgsldobqqvnekqzbmtuqlnupptapqrlrpnzqycrkhgsmqoyxg,130790.40000000001
wtimvnmhwylpfhchfobyffvwdtbtfgqcqnmbucalotsukcepeu jgwlyzupdaqndgvpykfdkbalfukmxfubdlnzkpyfbrezkvdceb,125964.8
pmxtzynwmsheatemodeaqlaicevupckxxplfyqgaqjnvwfqncq wwwhakbfemyopbvfcittdhaveexosxadbijsjlpsbkttpkwhgv,109158.40000000001
otustiqkoomqapjtgbiwsiaspanrzcfodgpecqfasprbarxemc knszznvyryhkxruzqaotsckkfkckuhqlqiqufecfwqxrdlprvp,73881.6
nkkvvordnxjikjbpfftbgmgtkrljzvjwnefmtscowqqupqzkgy bwnbimtuoeaunyofksxzcwfxqfurrdhavmiresprpcbhhziewa,53081.6
xcsoxipzbbghcehopzzerhxivwychfxvuyymbhdqrnfjlsblvl bdcegkpbvfpvprqsqjevqbizhmfxwnvjqyuvqwwmejlunqomlx,46092.8
cnhxxavqtrrdgaossbeqlygntepfdbtoxomcqgceftbthzyeke vuhqakkqhsfljirndsjlhbfzcezlrjxxzjwhiklwbsndvfjumq,39436.8
oofneexjfmffxzlbqvpcehnbjjzffzwfokgvfgxnyvwpngisgy wytldhyrzeelsvyppbdedhlsyzunbsuvmcmxnwcugpvboxcdke,2163.2000000000003
lzasqnuznuzsckyuobiljmyyrrpuebxohgpcfousxtheimgwuh rulxxexnkpnllttolunisjadlbbqwjyixvllfgfpwazpdgitmv,973
fhwegicfbucgxaghftaibjgairarvaaqdfijjvrfcykumqqcff gveuwepnsrjkrxfmqtkgeybsstaqcpzhhoefnvbqwkwkblynzg,949
uitebjsdeyxooferdymjyvnahkfjvpkyzofuyzvmtutwdeqvmf iojhabaewolkltqkowymctvdtmlzdywuaxqlmcbytfyfuxybdb,730
lueraswoadttbagczdrdibdtbntfdkfaeyjgrwjxqzexjnywap jgortbkfllxomnvlqzrykgzfguhczoenqidjnvtgzrrucktnxg,719
ggmtxzbmlnthoopanhlvrcbsgopuuvuetqhckecocmzrhfqowd ngqdwyusdfvbvbyfcqlmuklfqfnlgcmfkabfqfbfdgoqllvxkd,631
khawjvobqadhmgdjiumvcoqnhcfzxcqfxedjnwypmmpqtzfqao hhgxessndkdesksmdugbmvdqpnhdijtursfogmfrvvgoxdbmjh,581
jjtxwjklvujexrpyytgkvtdjjualtfkbvztcdyhsggwlakhxae mccthfmldlwexsthmyqfqgbxyrcevmbclqdzrgkyzknqdqzwrf,428
muzbgtfguazyernffdkghtdfyryynipictecdjqybdrbkvzoau yexxalejhdgvtgxhrtoqmwpegynqgzicugftdnnqawpneurupq,149
hawdfkbemnvisbfrcqrpvukxhmoizpwigvscamjdhmkvljjuxu hsgjjyqyucqwprgfibioapldcugyiadczqaqzlcuhiguwncjhe,140
idquizejdudrghszyvxmbmscjkbjsepuifgxxhnulvznqfofoo qxljaxrzswwgzookszxghkkjhoqshrdfmlnqmiddikczwbywrt,11
